"","segment","speaker","onset","MC","offset","time","Annotation","phrase","phrase_number","Annotation_context","phonological_phrasePosition","phonological_wordPosition","phonological_stress","phonological_previous_segment","phonological_following_vowel","location","Previous_segment_type","Previous_segment_advancement","Previous_segment_height","intervocalic","Gender","Speaker_acoustic","previous","Segment_acoustic","following","onset_time","offset_time","dur","previousWord","word","followingWord","wordOnset","wordOffset","wordDur","previous_segs","following_segs","previous_source_segments","previous_phonological_segments","previous_type_segments","previous_manner_segments","previous_place_segments","previous_majorplace_segments","previous_voicing_segments","previous_rounding_segments","segment_source_segments","segment_phonological_segments","segment_type_segments","segment_manner_segments","segment_place_segments","segment_majorplace_segments","segment_voicing_segments","segment_rounding_segments","following_source_segments","following_phonological_segments","following_manner_segments","following_place_segments","following_majorplace_segments","following_voicing_segments","following_rounding_segments","speaker_count","f1","f2","f3","cog","cog_FricationPortion","closure_start_MFA","closure_start_PRAAT","release_start","frication_start","frication_end","closure_duration_automatic","closure_duration","release_duration","frication_duration","vot","Prev_Segment_acoustic","Foll_Segment_acoustic"
"1","tS","CAN1","onset",NA,NA,1.868,"NoStr_o#tSa_1","cinco chalecos de vestir",10,"o#tSa_1","Phrase Medial","Word Initial","Unstressed","o","a","CAN","Vowel","Back","Mid",1,"Male","CAN1_12_0","o","tʃ","a",1.1301,1.2101,0.0799999999999998,"cinco","chalecos","de",1.1301,1.5501,0.42,"o","a","o","o","vowel","mid","back","BACK","voiced","rounded","C","C","consonant","affricate","palatal","CORONAL","unvoiced","NotAp","a","a","low","central","CENTRAL","voiced","unrounded",6,NA,NA,NA,518.295541645063,681.141395576987,1.1301,1.17811337868481,1.2101,1.2101,1.2101,0.0799999999999998,0.0319866213151927,0,0,-0.0321,"o","a"
"2","tS","CAN1",NA,NA,NA,1.8835,"NoStr_o#tSa_1","cinco chalecos de vestir",10,"o#tSa_1","Phrase Medial","Word Initial","Unstressed","o","a","CAN","Vowel","Back","Mid",1,"Male","CAN1_12_0","o","tʃ","a",1.1301,1.2101,0.0799999999999998,"cinco","chalecos","de",1.1301,1.5501,0.42,"o","a","o","o","vowel","mid","back","BACK","voiced","rounded","C","C","consonant","affricate","palatal","CORONAL","unvoiced","NotAp","a","a","low","central","CENTRAL","voiced","unrounded",6,NA,NA,NA,518.295541645063,681.141395576987,1.1301,1.17811337868481,1.2101,1.2101,1.2101,0.0799999999999998,0.0319866213151927,0,0,-0.0321,"o","a"
"3","tS","CAN1",NA,"MC",NA,1.899,"NoStr_o#tSa_1","cinco chalecos de vestir",10,"o#tSa_1","Phrase Medial","Word Initial","Unstressed","o","a","CAN","Vowel","Back","Mid",1,"Male","CAN1_12_0","o","tʃ","a",1.1301,1.2101,0.0799999999999998,"cinco","chalecos","de",1.1301,1.5501,0.42,"o","a","o","o","vowel","mid","back","BACK","voiced","rounded","C","C","consonant","affricate","palatal","CORONAL","unvoiced","NotAp","a","a","low","central","CENTRAL","voiced","unrounded",6,NA,NA,NA,518.295541645063,681.141395576987,1.1301,1.17811337868481,1.2101,1.2101,1.2101,0.0799999999999998,0.0319866213151927,0,0,-0.0321,"o","a"
"4","tS","CAN1",NA,NA,NA,1.9145,"NoStr_o#tSa_1","cinco chalecos de vestir",10,"o#tSa_1","Phrase Medial","Word Initial","Unstressed","o","a","CAN","Vowel","Back","Mid",1,"Male","CAN1_12_0","o","tʃ","a",1.1301,1.2101,0.0799999999999998,"cinco","chalecos","de",1.1301,1.5501,0.42,"o","a","o","o","vowel","mid","back","BACK","voiced","rounded","C","C","consonant","affricate","palatal","CORONAL","unvoiced","NotAp","a","a","low","central","CENTRAL","voiced","unrounded",6,NA,NA,NA,518.295541645063,681.141395576987,1.1301,1.17811337868481,1.2101,1.2101,1.2101,0.0799999999999998,0.0319866213151927,0,0,-0.0321,"o","a"
"5","tS","CAN1",NA,NA,"offset",1.93,"NoStr_o#tSa_1","cinco chalecos de vestir",10,"o#tSa_1","Phrase Medial","Word Initial","Unstressed","o","a","CAN","Vowel","Back","Mid",1,"Male","CAN1_12_0","o","tʃ","a",1.1301,1.2101,0.0799999999999998,"cinco","chalecos","de",1.1301,1.5501,0.42,"o","a","o","o","vowel","mid","back","BACK","voiced","rounded","C","C","consonant","affricate","palatal","CORONAL","unvoiced","NotAp","a","a","low","central","CENTRAL","voiced","unrounded",6,NA,NA,NA,518.295541645063,681.141395576987,1.1301,1.17811337868481,1.2101,1.2101,1.2101,0.0799999999999998,0.0319866213151927,0,0,-0.0321,"o","a"
"6","tS","CAN1","onset",NA,NA,1.764,"NoStr_o#tSa_2","cinco chalecos de vestir",10,"o#tSa_2","Phrase Medial","Word Initial","Unstressed","o","a","CAN","Vowel","Back","Mid",1,"Male","CAN1_12_1","o","tʃ","a",1.8501,1.9301,0.0799999999999998,"cinco","chalecos","de",1.8501,2.2601,0.41,"o","a","o","o","vowel","mid","back","BACK","voiced","rounded","C","C","consonant","affricate","palatal","CORONAL","unvoiced","NotAp","a","a","low","central","CENTRAL","voiced","unrounded",15,NA,NA,NA,569.782135040836,715.145792410627,1.8501,1.89811337868481,1.9301,1.9301,1.9301,0.0799999999999998,0.0319866213151927,0,0,-0.0321,"o","a"
"7","tS","CAN1",NA,NA,NA,1.782,"NoStr_o#tSa_2","cinco chalecos de vestir",10,"o#tSa_2","Phrase Medial","Word Initial","Unstressed","o","a","CAN","Vowel","Back","Mid",1,"Male","CAN1_12_1","o","tʃ","a",1.8501,1.9301,0.0799999999999998,"cinco","chalecos","de",1.8501,2.2601,0.41,"o","a","o","o","vowel","mid","back","BACK","voiced","rounded","C","C","consonant","affricate","palatal","CORONAL","unvoiced","NotAp","a","a","low","central","CENTRAL","voiced","unrounded",15,NA,NA,NA,569.782135040836,715.145792410627,1.8501,1.89811337868481,1.9301,1.9301,1.9301,0.0799999999999998,0.0319866213151927,0,0,-0.0321,"o","a"
"8","tS","CAN1",NA,"MC",NA,1.8,"NoStr_o#tSa_2","cinco chalecos de vestir",10,"o#tSa_2","Phrase Medial","Word Initial","Unstressed","o","a","CAN","Vowel","Back","Mid",1,"Male","CAN1_12_1","o","tʃ","a",1.8501,1.9301,0.0799999999999998,"cinco","chalecos","de",1.8501,2.2601,0.41,"o","a","o","o","vowel","mid","back","BACK","voiced","rounded","C","C","consonant","affricate","palatal","CORONAL","unvoiced","NotAp","a","a","low","central","CENTRAL","voiced","unrounded",15,NA,NA,NA,569.782135040836,715.145792410627,1.8501,1.89811337868481,1.9301,1.9301,1.9301,0.0799999999999998,0.0319866213151927,0,0,-0.0321,"o","a"
"9","tS","CAN1",NA,NA,NA,1.818,"NoStr_o#tSa_2","cinco chalecos de vestir",10,"o#tSa_2","Phrase Medial","Word Initial","Unstressed","o","a","CAN","Vowel","Back","Mid",1,"Male","CAN1_12_1","o","tʃ","a",1.8501,1.9301,0.0799999999999998,"cinco","chalecos","de",1.8501,2.2601,0.41,"o","a","o","o","vowel","mid","back","BACK","voiced","rounded","C","C","consonant","affricate","palatal","CORONAL","unvoiced","NotAp","a","a","low","central","CENTRAL","voiced","unrounded",15,NA,NA,NA,569.782135040836,715.145792410627,1.8501,1.89811337868481,1.9301,1.9301,1.9301,0.0799999999999998,0.0319866213151927,0,0,-0.0321,"o","a"
"10","tS","CAN1",NA,NA,"offset",1.836,"NoStr_o#tSa_2","cinco chalecos de vestir",10,"o#tSa_2","Phrase Medial","Word Initial","Unstressed","o","a","CAN","Vowel","Back","Mid",1,"Male","CAN1_12_1","o","tʃ","a",1.8501,1.9301,0.0799999999999998,"cinco","chalecos","de",1.8501,2.2601,0.41,"o","a","o","o","vowel","mid","back","BACK","voiced","rounded","C","C","consonant","affricate","palatal","CORONAL","unvoiced","NotAp","a","a","low","central","CENTRAL","voiced","unrounded",15,NA,NA,NA,569.782135040836,715.145792410627,1.8501,1.89811337868481,1.9301,1.9301,1.9301,0.0799999999999998,0.0319866213151927,0,0,-0.0321,"o","a"
"11","tS","CAN1","onset",NA,NA,1.687,"Str_o#tSa_1","cinco chanclas de piscina",11,"o#tSa_1","Phrase Medial","Word Initial","Stressed","o","a","CAN","Vowel","Back","Mid",1,"Male","CAN1_25_0","o","tʃ","a",0.7701,0.8601,0.09,"cinco","chanclas","de",0.7701,1.1701,0.4,"o","a","o","o","vowel","mid","back","BACK","voiced","rounded","C","C","consonant","affricate","palatal","CORONAL","unvoiced","NotAp","a","a","low","central","CENTRAL","voiced","unrounded",6,NA,NA,NA,797.540522158858,691.699596024637,0.7701,0.827102040816327,0.8601,0.8601,0.8601,0.09,0.0329979591836734,0,0,-0.0331,"o","a"
